SAMPLE ID,DataBase,SAMPLE_INFO
ODP0129-0801B-043R-001/132-135,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-038R-001/022-025,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-040R-001/015-018,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-001/020-025,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-001/026-031,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-001/130-136,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-042R-002/000-007,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-042R-002/129-134,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-043R-001/022-027,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-043R-001/128-134,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-043R-004/005-010,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-001/018-024,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-001/107-113,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-002/027-032,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-003/028-033,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-001/014-020,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-001/109-114,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-005/033-038,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-002R-001/112-118,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-002R-003/114-119,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-002R-004/071-076,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-005R-001/103-105,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-005R-002/087-089,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-005R-003/038-043,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-005R-003/125-131,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-006R-002/029-034,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-006R-002/119-124,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-006R-003/037-042,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-007R-001/053-058,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-007R-001/099-105,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-007R-003/000-005,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-007R-004/077-083,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-007R-004/137-142,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-008R-001/065-067,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-008R-001/101-106,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-008R-002/078-080,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-008R-002/133-139,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-009R-005/020-024,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-010R-001/055-060,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-010R-006/067-070,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-011R-002/121-126,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-011R-003/121-126,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-011R-003/131-136,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-012R-003/032-037,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-012R-003/057-062,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-015R-007/031-034,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-034R-001/093-096,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-040R-001/024-027,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-044R-003/023-026,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-037R-001/036-038,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-001/026-030,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-002/074-079,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-043R-003/111-114,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-005/033-035,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-002R-005/024-028,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-005R-001/095-098,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-006R-003/042-045,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-007R-003/043-048,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-009R-004/001-004,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-011R-002/145-148,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-012R-002/111-113,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-014R-001/086-088,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-015R-002/117-120,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-015R-007/096-099,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-016R-002/027-031,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-016R-002/082-086,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-016R-005/062-065,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-018R-001/064-069,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-021R-002/086-089,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-023R-003/080-084,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-024R-001/046-049,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-025R-001/010-013,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-027R-003/066-069,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-028R-001/110-114,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-028R-002/036-038,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-028R-002/100-104,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-029R-001/016-018,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-030R-001/003-007,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-030R-001/111-114,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-030R-005/039-042,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-031R-004/043-045,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-031R-007/007-010,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-032R-001/121-127,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-034R-002/036-040,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-035R-003/100-104,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-037R-004/106-110,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-037R-005/112-114,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-038R-001/022-027,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-038R-003/053-059,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-042R-002/034-038,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-043R-001/013-015,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-043R-002/101-104,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-043R-003/050-055,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-046R-002/048-052,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-050M-001/029-032,Northwest_Pacific,Seafloor altered basalt
ODP0185-0801C-052M-001/047-049,Northwest_Pacific,Seafloor altered basalt
