SAMPLE ID,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,I,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,FeS2,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,S_PY,TOC,Ag.1,Al.1,As.1,Ca.1,Cd.1,Co.1,Cu.1,GER,INDIUM,Mg.1,Mn.1,Ni.1,OS_INI,Pa,S.1,Si.1,Zn.1,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,DataBase,SAMPLE_INFO
ODP0129-0801B-043R-001/132-135,,,,,,60.237516096723425,,,,,,,27.380281690140848,,,29.873417721518983,,6.2279511533242875,4.645833333333333,10.892857142857142,,,1.3976510067114094,15.825242718446601,,5.189024390243902,,,53.46117630572654,31.877729257641917,16.187499999999996,3.918918918918919,,,,,,57.0827489481066,18.389955686853764,,,23.520279959233385,26.760563380281692,,22.463768115942027,,57.637795275590555,,,,,,,,,11.936936936936936,,16.587677725118482,63.90243902439025,49.62962962962963,,28.235294117647054,11.156830923718374,,,34.42857142857142,,,5.230769230769231,3.894523326572008,,20.982142857142858,,ODP0129,"ANDERSEN, 2015; HAUFF, 2003; KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN; MC-ICP-MS; MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,,47.3,2.42,13.54,,12.51,,,,,0.153,11.16,6.85,,3.22,1.61,0.512,,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4,35.5,,,,,310.0,,,,,90.5,,,,,,,,,,,pacific_plate_west_ref,132.0,135.0,133.5,493.52,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-038R-001/022-025,,,,,,65.38846759193018,,,,,,,24.225352112676056,,,168.35443037974682,,,,7.857142857142857,,,,13.559870550161813,,,,,192.5930574988906,29.54876273653566,,3.2432432432432434,,,,,,50.490883590462836,15.509601181683898,,,16.537696846335976,14.084507042253522,,,,129.13385826771653,,,,,,,,,9.391891891891891,,4.834123222748815,60.243902439024396,5.648148148148148,,23.52941176470588,12.309396101788455,,,56.19047619047618,,,4.395604395604396,3.4279918864097363,,17.321428571428573,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.45,2.67,18.62,,5.97,,0.61,,,0.04,4.69,2.0,,2.04,5.8,0.36,,5.67,,,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,64.0,,,,,67.0,,,162.0,,93.0,,,,,,,4.81,,4.81,,pacific_plate_west_ref,22.0,25.0,23.5,466.32,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-040R-001/015-018,,,,,,62.8129918443268,,,,,,,33.29577464788733,,,418.98734177215186,,,,12.916666666666666,,,,11.779935275080907,,,,,195.24951346439258,43.8136826783115,,3.3783783783783785,,,,,,68.72370266479663,20.679468242245196,,,28.940969481087958,84.50704225352113,,,,173.22834645669292,,,,,,,,,15.495495495495495,,15.023696682464454,77.3170731707317,8.611111111111112,,37.17647058823529,15.213860350525056,,,37.14285714285714,,,7.252747252747253,3.7322515212981746,,13.660714285714286,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.58,3.3,17.42,,9.02,,0.75,,,0.12,2.75,2.63,,2.91,5.88,0.63,,2.68,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,37.0,,,,,82.0,,,105.0,,111.0,,,,,,,2.72,,2.72,,pacific_plate_west_ref,15.0,18.0,16.5,477.05,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-001/020-025,,,,,,64.10072971812849,,,,,,,46.06197183098592,,,59.49367088607594,,9.49796472184532,7.0,16.01190476190476,,,13.506711409395974,24.271844660194176,,7.439024390243902,,,99.94915570201047,57.65647743813682,,5.9459459459459465,,,,,,74.33380084151473,28.862629246676512,,,31.697252288810613,126.7605633802817,,33.91304347826087,,97.63779527559055,,,,,,,,,18.513513513513516,,23.033175355450236,85.1219512195122,,,42.35294117647059,16.41252813571794,,,49.523809523809526,,,7.912087912087912,5.720081135902636,,27.5,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.33,3.56,15.14,,4.27,,5.57,,,0.14,4.52,7.71,,3.88,3.01,0.69,,4.67,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,28.0,,,251.0,,101.0,,,,,,,1.54,,1.54,,pacific_plate_west_ref,20.0,25.0,22.5,484.7,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-001/026-031,,,,,,59.235942194877666,,,,,,,35.943661971830984,,,36.70886075949367,,,,13.809523809523808,,,,19.158576051779935,,,,,71.06019707717688,44.39592430858806,,4.324324324324325,,,,,,67.32117812061712,22.895125553914326,,,28.48158901313418,42.25352112676057,,,,61.41732283464567,,,,,,,,,16.396396396396398,,24.549763033175353,77.3170731707317,9.537037037037038,,35.52941176470588,15.25996295764786,,,66.66666666666666,,,7.032967032967033,4.685598377281948,,24.28571428571429,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.77,3.31,16.03,,4.76,,4.72,,,0.14,5.2,8.25,,3.81,2.14,0.62,,5.09,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,44.0,,,,,46.0,,,358.0,,90.0,,,,,,,2.0,,2.0,,pacific_plate_west_ref,26.0,31.0,28.5,483.26,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-041R-001/130-136,,,,,,60.38059808270139,,,,,,,41.780281690140846,,,49.36708860759494,,8.683853459972864,6.479166666666667,14.702380952380953,,,12.130872483221477,20.711974110032365,,6.951219512195121,,,86.66687587450078,52.83842794759825,,5.9459459459459465,,,,,,68.72370266479663,26.196454948301326,,,28.022208545180405,140.84507042253523,,31.340579710144926,,81.88976377952756,,,,,,,,,16.68918918918919,,24.265402843601894,78.78048780487805,,,41.17647058823529,14.937244707788237,,,48.095238095238095,,,7.032967032967033,5.273833671399594,,25.446428571428573,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.08,3.24,15.8,,4.28,,5.79,,,0.15,4.86,7.64,,3.71,2.61,0.61,,4.71,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,45.0,,,250.0,,90.0,,,,,,,1.55,,1.55,,pacific_plate_west_ref,130.0,136.0,133.0,484.3,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-042R-002/000-007,,,,,,53.941908713692946,,,,,,,36.59154929577465,,,36.70886075949367,,7.706919945725915,5.645833333333333,13.214285714285715,,,11.04026845637584,18.77022653721683,,6.219512195121951,,,65.08317115479753,47.2197962154294,,5.135135135135135,,,,,,58.906030855539974,23.197932053175773,,,24.80654526950396,112.67605633802818,,27.101449275362317,,66.14173228346456,,,,,,,,,14.90990990990991,,27.10900473933649,67.3170731707317,,,35.29411764705882,13.323653458490124,,,47.61904761904761,,,6.373626373626374,4.584178498985801,,21.696428571428573,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.91,2.89,17.42,,4.63,,4.68,,,0.14,6.5,8.36,,3.43,1.96,0.54,,2.93,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,69.0,,,276.0,,72.0,,,,,,,1.97,,1.97,,pacific_plate_west_ref,0.0,7.0,3.5,489.05,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-042R-002/129-134,,,,,,50.651023036199746,,,,,,,32.901408450704224,,,30.379746835443033,,,,12.440476190476188,,,,17.15210355987055,,,,,60.43437321516913,40.174672489082965,,4.054054054054054,,,,,,57.503506311360454,18.46381093057607,,,25.725306205411517,98.59154929577466,,72.46376811594202,,59.84251968503937,,,,,,,,,14.90990990990991,,26.492890995260662,68.29268292682926,8.24074074074074,,30.235294117647054,13.461961279858535,,,42.38095238095238,,,6.153846153846154,4.421906693711968,,20.80357142857143,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.33,2.92,16.96,,4.04,,5.7,,,0.14,7.18,8.06,,3.26,1.82,0.56,,2.85,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,39.0,,,,,92.0,,,298.0,,71.0,,,,,,,2.09,,2.09,,pacific_plate_west_ref,129.0,134.0,131.5,490.34,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-043R-001/022-027,,,,,,70.82558305909286,,,,,,,32.563380281690144,,,44.303797468354425,,,,12.559523809523808,,,,17.734627831715212,,,,,63.09082918067107,39.44687045123726,,4.054054054054054,,,,,,58.906030855539974,20.679468242245196,,,25.26592573745774,56.33802816901409,,,,62.99212598425197,,,,,,,,,14.977477477477478,,18.19905213270142,66.58536585365853,8.333333333333334,,30.11764705882353,13.554166494104141,,,45.238095238095234,,,6.153846153846154,4.300202839756593,,21.78571428571429,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,45.88,2.94,15.23,,4.7,,5.7,,,0.13,8.28,6.21,,4.02,1.9,0.55,,4.58,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,39.0,,,,,163.0,,,379.0,,86.0,,,,,,,4.17,,4.17,,pacific_plate_west_ref,22.0,27.0,24.5,492.24,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-043R-001/128-134,,,,,,53.08341679782515,,,,,,,31.47605633802817,,,35.44303797468354,,6.662143826322931,4.916666666666667,11.249999999999998,,,9.345637583892618,15.533980582524272,,5.182926829268292,,,48.4803213704104,40.116448326055306,,4.324324324324325,,,,,,51.89340813464236,20.066469719350074,,,21.131501525873745,28.169014084507044,,228.6231884057971,,50.39370078740157,,,,,,,,,12.792792792792792,,17.6303317535545,57.80487804878049,,,29.882352941176467,11.433446566455194,,,36.666666666666664,,,5.4945054945054945,3.995943204868154,,18.571428571428573,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.43,2.48,13.11,,5.73,,5.72,,,0.15,10.58,6.59,,2.76,1.46,0.46,,6.16,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,375.0,,,1388.0,,89.0,,,,,,,3.27,,3.27,,pacific_plate_west_ref,128.0,134.0,131.0,493.48,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-043R-004/005-010,,,,,,64.67305766204035,,,,,,,33.46478873239437,,,40.506329113924046,,,,12.857142857142858,,,,18.6084142394822,,,,,108.58263758989177,40.611353711790386,,4.594594594594595,,,,,,60.308555399719495,17.725258493353028,,,27.10344760927285,84.50704225352113,,,,92.91338582677166,,,,,,,,,15.135135135135135,,19.47867298578199,68.04878048780488,8.796296296296296,,31.17647058823529,14.199602993823385,,,38.095238095238095,,,6.373626373626374,4.726166328600406,,23.125,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.2,3.08,16.83,,4.11,,4.59,,,0.2,3.58,6.15,,3.84,3.27,0.59,,6.82,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,33.0,,,,,41.0,,,234.0,,81.0,,,,,,,2.14,,2.14,,pacific_plate_west_ref,5.0,10.0,7.5,496.53,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-001/018-024,,,,,,53.79882672771498,,,,,,,38.04507042253521,,,63.291139240506325,,8.480325644504749,6.3125,14.107142857142858,,,11.996644295302014,20.06472491909385,,6.829268292682928,,,97.62475673219629,47.80203784570597,,5.405405405405406,,,,,,60.308555399719495,24.32791728212703,,,26.18468667336529,126.7605633802817,,28.550724637681157,,80.31496062992126,,,,,,,,,15.81081081081081,,23.222748815165875,68.53658536585365,,,32.94117647058823,15.029449922033841,,,45.238095238095234,,,7.032967032967033,5.192697768762677,,23.571428571428573,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.87,3.26,16.8,,3.76,,4.16,,,0.31,2.65,9.37,,4.01,2.94,0.57,,7.69,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,60.0,,,214.0,,79.0,,,,,,,1.57,,1.57,,pacific_plate_west_ref,18.0,24.0,21.0,501.88,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-001/107-113,,,,,,62.526827872370866,,,,,,,31.887323943661976,,,65.82278481012658,,,,12.261904761904761,,,,17.05501618122977,,,,,151.7500470292983,39.30131004366812,,3.648648648648649,,,,,,58.906030855539974,18.46381093057607,,,26.18468667336529,14.084507042253522,,,,99.21259842519684,,,,,,,,,13.918918918918918,,11.848341232227487,68.29268292682926,8.148148148148149,,30.823529411764707,15.029449922033841,,,26.19047619047619,,,5.934065934065934,4.0973630831643,,19.107142857142858,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.13,3.26,17.72,,4.32,,3.22,,,0.18,3.05,4.35,,3.12,4.57,0.57,,6.96,,,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,35.0,,,,,107.0,,,347.0,,87.0,,,,,,,3.34,,3.34,,pacific_plate_west_ref,107.0,113.0,110.0,502.77,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-002/027-032,,,,,,75.97653455429962,,,,,,,37.44788732394366,,,93.67088607594935,,8.331071913161464,6.229166666666667,13.75,,,11.677852348993289,18.77022653721683,,6.585365853658537,,,188.27631655494997,46.34643377001455,,5.405405405405406,,,,,,61.71107994389902,23.929098966026586,,,25.26592573745774,112.67605633802818,,27.826086956521735,,105.51181102362204,,,,,,,,,15.698198198198197,,14.739336492890994,68.29268292682926,,,32.94117647058823,15.075552529156647,,,109.5238095238095,,,6.813186813186814,5.1115618661257605,,22.67857142857143,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.42,3.27,17.7,,3.75,,3.27,,,0.13,3.03,3.56,,3.2,5.67,0.55,,4.38,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,93.0,,,264.0,,69.0,,,,,,,2.06,,2.06,,pacific_plate_west_ref,27.0,32.0,29.5,503.42,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801B-044R-003/028-033,,,,,,56.66046644727429,,,,,,,34.140845070422536,,,41.77215189873417,,,,13.869047619047619,,,,19.02912621359223,,,,,76.70516600386851,42.0669577874818,,5.135135135135135,,,,,,61.71107994389902,24.37223042836041,,,26.18468667336529,140.84507042253523,,,,72.44094488188976,,,,,,,,,15.968468468468467,,25.023696682464454,68.04878048780488,10.092592592592593,,32.470588235294116,14.56842385080581,,,46.19047619047619,,,7.252747252747253,5.273833671399594,,23.92857142857143,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.65,3.16,17.22,,4.18,,5.04,,,0.14,4.21,7.24,,4.08,2.31,0.57,,3.65,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,36.0,,,,,59.0,,,285.0,,83.0,,,,,,,1.4,,1.4,,pacific_plate_west_ref,28.0,33.0,30.5,504.91,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-001/014-020,,,,,,45.0708255830591,,,,,,,33.36338028169014,,,39.24050632911392,,7.0284938941655355,5.208333333333334,11.845238095238095,,,,15.857605177993529,,5.48780487804878,,,52.132948322975565,42.1688500727802,,4.594594594594595,,,,,,53.295932678821885,20.997045790251107,,,23.42840386564263,14.084507042253522,,24.23913043478261,,55.118110236220474,,,,,,,,,13.648648648648647,,22.037914691943126,56.34146341463415,,,29.41176470588235,12.40160131603406,,,39.52380952380952,,,5.934065934065934,4.219066937119676,,19.732142857142858,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.06,2.69,14.18,,4.49,,6.34,,,0.16,10.14,7.44,,2.58,1.57,0.51,,5.31,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,247.0,,,381.0,,84.0,,,,,,,2.42,,2.42,,pacific_plate_west_ref,14.0,20.0,17.0,493.84,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-001/109-114,,,,,,61.09600801259121,,,,,,,32.3943661971831,,,39.24050632911392,,,,12.20238095238095,,,,17.47572815533981,,,,,58.10997424535493,39.88355167394468,,4.054054054054054,,,,,,57.503506311360454,22.156573116691284,,,27.562828077226627,14.084507042253522,,,,62.99212598425197,,,,,,,,,14.346846846846846,,17.20379146919431,63.90243902439025,8.333333333333334,,30.705882352941174,12.908729994384895,,,46.19047619047619,,,5.934065934065934,4.158215010141988,,21.607142857142858,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,44.92,2.8,14.72,,3.62,,6.4,,,0.15,9.58,6.46,,3.45,1.75,0.6,,5.3,,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,40.0,,,,,197.0,,,263.0,,86.0,,,,,,,3.77,,3.77,,pacific_plate_west_ref,109.0,114.0,111.5,494.79,Northwest_Pacific,Seafloor altered basalt
ODP0129-0801C-001R-005/033-038,,,,,,135.64172270711117,,,,,,,33.971830985915496,,,37.974683544303794,,,,13.690476190476188,,,,19.12621359223301,,,,,80.6898499521214,42.0669577874818,,4.864864864864865,,,,,,61.71107994389902,22.895125553914326,,,26.18468667336529,70.42253521126761,,,,74.01574803149606,,,,,,,,,15.81081081081081,,22.274881516587676,69.7560975609756,9.537037037037038,,31.64705882352941,14.476218636560205,,,50.476190476190474,,,7.032967032967033,5.0912778904665315,,23.839285714285715,,ODP0129,"CASTILLO, 1992",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,IGN; INAA; TITR; VOL; XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.13,3.14,16.57,,3.96,,5.79,,,0.16,5.08,6.59,,4.63,2.43,0.57,,4.36,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,36.0,,,,,57.0,,,312.0,,76.0,,,,,,,2.9,,2.9,,pacific_plate_west_ref,33.0,38.0,35.5,498.88,Northwest_Pacific,Seafloor altered basalt
