Sample ID,Rb,Ba,Th,U,Nb,K,La,Ce,Pb,Sr,Nd,Zr,Ti,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO
329-U1365E-2R-1-W 36/40,6.338071129753693,1.2742675729194022,,0.3476020211695805,,5.5481548456799175,0.9876067608833381,1.0016944939645231,9.508367276853463,3.0309275844109473,1.3865524511526486,,,-1.7934305472874525,-0.22208907081406437,-0.5590441059534701,0.06719319177408067,-0.8475840687881391,0.33746729285439425,-0.09950660583644222,1.0046383218540154
329-U1365E-2R-1-W 65/69,0.31348599256825294,-0.4019725696299392,,0.6339584862795271,,-0.055793840079111146,1.1774172188042455,1.4019901200913543,-0.23304554093556273,2.6601685377854727,1.4463663486076976,,,-1.7500701009016053,-0.3837444618407879,-0.7180806650987854,-0.5142192038286595,-0.2955979755683211,0.22169194815029947,-0.021516581548191388,0.8711561329123025
329-U1365E-3R-1-W 130/134,1.1459351804303501,0.9211535924352408,,0.5843861838059552,,1.0914596078186936,1.3727852531043312,1.3878935113393869,3.8624110857397485,2.6834455682516873,1.5299890010215638,,,-1.5278943217504448,-0.4390452849343083,-0.5784722106987434,-0.7427893961365442,0.06070834676313197,0.3420581935935303,-0.014404770278101636,0.7681164055030258
329-U1365E-3R-2-W 20/22,0.8680701083747211,-0.2375900940531166,,0.48110780705368583,,1.7951956590719718,1.0534128271732448,1.2653354830524837,7.585142932486163,2.6631343363515905,1.308786353797525,,,-1.7140625718822937,-0.4151680004403602,-0.5395185291363465,-0.19517811630836945,-0.523320909424215,0.32963233446381723,-0.03023389692004355,0.9341368899950346
329-U1365E-3R-2-W 22/24,9.242040386974399,0.49382973090786964,,0.31469095516459955,,9.399185451222106,0.8998577311344054,1.0715611756720058,9.363668099373555,2.9586978383251648,1.3704455271712037,,,-1.6552892257630436,-0.2380870686942398,-0.613540032135405,-0.8543339100002214,-1.1324107187066677,0.2950364181411609,-0.10433750256405058,0.8688594418796463
329-U1365E-3R-2-W 52/56,12.941957006248096,1.8797894863252482,,4.905430504285699,,14.038325124771891,0.44719026426730224,0.6759877478259182,3.3065658473045136,2.5073617835419073,1.2567690391449649,,,-1.4381345322983048,-0.04940511642558043,-0.20225757837958103,-0.8044498468557606,-1.543830295671949,0.3892773336085691,-0.02213911116907233,0.4852149196398976
329-U1365E-3R-3-W 33/37,2.1779727264929436,0.6581727973552887,,0.050000224495649004,,0.9333090434350946,0.5558826708603659,0.5791051655273036,3.3955775296095014,1.0938040298703537,1.1658551487630593,,,-1.4633898887353007,-0.21402290448263983,-0.30459142616424906,-2.925120439126438,2.6203630234785518,0.009101812338779158,-0.010277359229360988,-1.7070525111351422
329-U1365E-3R-3-W 112/116,0.9678970907084012,0.029030516892548985,,0.27817219244438274,,0.441884822193255,0.621174835557321,0.7664934277910547,3.8464084788105457,3.3278799395864738,1.3073046758424312,,,-1.537056796583327,-0.4181730487721378,-0.5671558309136131,-1.4122870835130357,-0.01029771331747753,0.3298364157406031,-0.011926106242143686,-0.0231652616801572
329-U1365E-3R-4-W 66/68,0.6393632990813544,-0.1807376918926994,,0.40091010514535097,,0.3767789855140291,0.708159203228286,0.8002917625719173,2.731005762489412,2.9510703836674015,1.2584209253068446,,,-1.5885246067338503,-0.4464446867646785,-0.6006345531409965,-0.9392493929768975,-1.191683658700084,0.2436046110742467,-0.021067847877897686,0.7795574629524555
329-U1365E-3R-4-W 68/70,7.770869444963085,4.62035519924214,,0.5229386797381506,,6.075085098750029,0.6593031242189213,0.8969941981487843,3.918804023469264,2.710719200990006,1.567879239830397,,,-1.2946210809028216,0.043156664976430115,0.06212266055692339,-1.3851276019422443,-1.2469816985670548,0.3242052678905072,-0.02407119564932722,0.4407353125699949
329-U1365E-4R-1-W 22/24,4.039000419909558,0.16937341374905168,,8.869093347752221,,10.419414724914041,0.5603914735249305,0.9226714826665958,0.12253937916180035,2.743625546641457,0.9572438468749427,,,-1.874937697579914,-0.6768815721480408,-0.830839987580112,-0.054616050944837014,-1.2472949115060405,0.5918330994378351,-0.06691854182804122,0.7972353774709795
329-U1365E-4R-1-W 24/25,10.506690379124663,1.1343896937045683,,10.017362094233388,,13.813808780309976,1.104695565739331,1.0348904701031492,1.561944807618075,2.8890182492955647,1.1129014209875194,,,-1.6642844547631706,-0.46143095433921033,-0.6142038015576707,-0.8770602454021557,-1.7905385268631058,0.6239095007323563,-0.03352743733662905,0.2820072327172749
329-U1365E-4R-1-W 37/40,10.67196776017259,23.04490579181143,,2.6327497890610916,,10.451883223286012,0.855878754673622,0.792531993304527,3.5952075708397704,2.543532707412994,1.3645703450926563,,,-1.3850913897219579,0.20336790095484591,-0.06402054453570472,-2.7794127655912746,-1.3096945779653941,0.5785495802863072,-0.06355763850999428,0.7627456983324219
329-U1365E-4R-2-W 88/92,1.147069320589016,0.5607027980377682,,0.7680771802925399,,0.6904885618141612,0.8776548552789993,1.245199328238943,2.988301765683172,2.152562324473121,1.2533802592809158,,,-1.590925976845953,-0.1346861780889803,-0.2952165792327177,-1.2024534957034803,0.3093910544665581,0.28842115625303455,-0.04455911683790746,0.6843310174002593
329-U1365E-4R-2-W 137/142,18.68736580402725,2.8385605571141843,,3.269910886223337,,25.404447017641317,0.5118235220733776,0.6996224897596175,2.950456025313696,1.9240577424845755,0.7243854328345272,,,-1.8889886052374472,-0.534469058053662,-0.6352296643126536,-3.721791915263516,-1.5019139250157068,0.259527313267363,-0.05270598816683597,-0.18616042799344612
329-U1365E-4R-3-W 10/13,24.306785452832916,9.442421902940824,,8.088214586891784,,35.04033369933162,0.45325083866267235,0.43619213929071154,5.19397438564055,2.096124527296988,0.5453014801188667,,,-2.100255405608501,-0.03975377858607754,-0.4884392187043787,-2.6884610127948534,-2.026753698713107,0.32344377863893525,-0.19500910367509047,0.35890091388925427
329-U1365E-5R-1-W 8/12,23.355282296571087,4.811289661053246,,4.313713849916201,,29.533947558611338,0.6861587134002782,0.823291671642302,8.168672339857684,1.6185199671442003,1.2407643483549533,,,-1.3843891242266384,0.29372250286753765,-0.13323229139186044,-0.8140127832839852,-0.7603289398424868,0.36597541381535326,-0.15889169123490654,0.1778851443568712
329-U1365E-5R-2-W 89/93,2.064669981511065,-0.3020539290981007,,0.7836997304659494,,1.623312159784915,0.98070467245272,1.368988888852071,16.854195488061855,1.8527787850548085,1.3833701923980435,,,-1.2863065605559045,0.18200058084722315,-0.02848563695288231,-1.1338729421631513,0.029064427173570273,0.12794944039472256,-0.054784376747253505,0.7273588686800423
329-U1365E-5R-3-W 29/33,1.3737825403078832,0.04616590876126747,,0.0989286048574094,,1.0049755275669598,0.6047482260909041,0.6886661953918436,5.254378407298654,2.035300885530935,1.155357364422696,,,-1.881889551215103,0.02890695760325368,-0.13693903904590154,-0.8360152680918347,-0.496188614253378,0.32950232697302884,-0.14106634985937003,-0.4100495305931222
329-U1365E-5R-4-W 53/57,35.293351822863826,17.040594348847343,,5.6395811784360745,,57.39950948634425,0.2366623590374468,0.2395456496006103,6.2073152324890035,1.5206562614309895,0.4386976713059738,,,-2.211760291019873,-0.039116057324332765,-0.45244798668558683,-2.859428273324575,-1.7314008495594448,0.03935313610709912,-0.18292067183143068,-0.818901792866729
329-U1365E-5R-4-W 86/90,16.310017162208492,6.160703145019602,,3.1034868644038376,,31.3823674771618,0.32500387411163967,0.7721909269813039,3.154906011225432,0.9632301262374905,1.2309289323479664,,,-1.3877595361135437,-0.7855263511131598,-0.6451800985738583,-1.7784758285051012,0.7477491782286085,-0.05917238087742582,-0.023118063009829035,-1.4564893249471798
329-U1365E-5R-4-W 144/149,0.33097279204127983,-0.04806510235719602,,0.4200780259623256,,0.6466840239433069,0.33735220589649506,0.7442306523608866,1.7111618791013137,0.8834977429176254,1.331337296249878,,,-1.2285288023390146,-0.5352153884668942,-0.481560447528115,-1.648204725935777,1.5855816723171081,-0.12632916586150733,-0.01495290903486439,-0.04120270528008696
329-U1365E-6R-1-W 8/12,20.682499872598004,9.549238831204535,,14.292573766466667,,52.4438736144011,0.8166074696239392,1.055144730912437,15.773301161460882,3.350039681461178,1.055740527168438,,,-2.4648131211785653,-0.7127081842684051,-0.9242261081511094,-1.6296541336145438,-4.8849457099127545,0.5158661235619499,-0.03763920263359073,-0.45006299898023805
329-U1365E-6R-1-W 26/30,0.6324754087690663,0.2637831998339275,,0.30467142425453386,,0.33458319564782224,0.21372090673639832,0.45685684881713184,4.265193036137439,0.8182242057209184,1.0199696462011931,,,-1.3849439953047549,-0.7349534316883082,-0.538497398243261,-2.719215285661022,2.340757148954409,-0.42835272801943924,-0.019482981246736808,0.21841320373418682
329-U1365E-6R-2-W 19/23,3.0107618364217723,2.4328389924667913,,3.6204045667533244,,1.8637825865970297,0.2057604231590613,0.18860248617330466,3.067255495483214,1.6935530274081643,0.7473213118754716,,,-1.3126258283258494,-0.46656432164527395,-0.39580081125409716,-2.483492435790346,0.5464207750068866,-0.09292960119128146,-0.023924461162683208,1.6164515238347033
329-U1365E-6R-2-W 99/103,0.541697519494105,-0.3664768165736457,,0.2719698456244848,,-1.0844639114959258,0.2175757854108804,0.4725537288594639,2.330331434080393,1.0154443174342354,0.9461492039535977,,,-1.4334916151084478,-0.7210484796788652,-0.5446729645681376,-2.09701903687003,2.012463827321528,-0.2693953302945453,-0.02145501135353206,0.5359061922208248
329-U1365E-6R-4-W 8/10,21.107041226327436,2.134666466898035,,3.974733084077673,,27.127013877369826,0.03250830180665698,0.23455242446609326,4.759272715229502,1.0043099377366573,0.7593350615529553,,,-1.5031557372236142,-0.8722025366882598,-0.590945337899675,-5.2632281439517,-0.23766303603150707,-0.3887473295981705,-0.024584809410355263,1.1430679325465505
329-U1365E-6R-4-W 10/12,2.2933368383847768,0.29365939852430045,,1.1512069707807946,,3.941275612767477,0.4773600526418522,0.9125652961671142,3.0494130439656204,1.2020770527538231,1.4071208801924797,,,-1.3648737463217548,-0.5358300034763062,-0.6159357414795155,-0.3900188617051654,0.8633501260986041,0.06790832646054712,-0.025177614029611203,0.2031501834011742
329-U1365E-6R-4-W 19/23,36.29201620338713,17.96009751628776,,7.688698117344775,,84.85403037903644,0.5085447773605458,-0.017619425136894407,25.222039459247387,1.688859266577892,0.76124952452688,,,-1.1278205542667412,-0.6511109776929302,-0.4901163721923423,-3.551376221658117,0.2289360532061817,-0.8728351404981094,-0.00822302577248274,-2.1434999286412264
329-U1365E-7R-1-W 41/45,0.8710952333003781,0.017870350910102195,,0.10016325190415731,,-0.27417166927142,0.1389548803971976,0.09076663554511644,8.222556083488291,2.1528743850190373,0.8142756070168264,,,-1.0857951422328243,-0.46810723265963805,-0.639343058599934,-2.250783029057061,0.3670041865757767,-0.4900183417213513,-0.021936086721785666,1.020264260089121
329-U1365E-7R-2-W 131/135,18.640032235494125,3.2420685183618008,,5.391160504424432,,28.301287197106284,0.08081940370465568,0.04867203623425631,11.258347075148405,2.009512958016026,0.5615358824205323,,,-0.8669350217821745,-0.40295195733511946,-0.6063177244328104,-5.27559696201191,-1.3846248798391088,-0.16708669670541143,-0.01274757290675238,-0.330614600499219
329-U1365E-7R-3-W 0/2,30.353239469326994,6.00859876776867,,4.266838390313451,,62.48418380974765,0.19320339743211834,-0.23289171811730114,12.85560152716904,2.189901582818211,0.33237996164421757,,,-1.284471701064556,-0.9190847128442212,-1.280838793625711,-4.509818048134129,-3.5394419874207372,-0.41732929016307185,-0.001791166950631043,-0.733169195763617
329-U1365E-7R-3-W 2/4,66.53379950042047,33.47701377823651,,18.748288484847567,,231.7135292407214,1.6514028054574497,-0.6349181336446117,15.916364822635686,2.574055746831836,-0.023715842816166788,,,-2.9583532902433527,-1.6256410991466046,-1.3782489821379884,-5.231260148551783,-2.9606226573489227,-1.6666555036654442,-0.03228564549646541,-5.410109658446623
329-U1365E-7R-4-W 0/4,0.9516508243503653,1.8898887905729946,,0.006470964736599916,,-0.36796228855760393,0.026153620570319447,0.4102375937629219,7.11921560891518,2.4250578402750134,0.7683469443329525,,,-1.0593562942646253,-0.7038230203274884,-0.8937010961985883,-1.8070782667730043,-0.3002861801073369,-0.03748773101522396,0.002778199719534462,0.10560267253226563
329-U1365E-8R-1-W 41/47,55.07642412487028,89.09378913254838,,17.986077183966803,,194.06644743126594,2.0295948041256153,-0.5988448205591239,8.851561009514299,2.3423012174809354,0.09342535386945494,,,-3.2252730713488265,-2.2033391379956324,-2.0379848509306733,-2.190001125686827,-3.3742665265203113,-0.9456597276407488,-0.05286027523951464,-5.110395864039091
329-U1365E-8R-2-W 49/53,0.6931915073889573,0.07527749415479901,,0.19039860012034038,,-0.8024176580684799,0.15353592877478883,-0.0004912392533871213,8.175548166520676,2.1410215208092027,0.8064863532713473,,,-0.8120206071997362,-0.5331698316771813,-0.6119844725832122,-2.8320311226366357,1.7212564248594457,-0.08711488299971704,-0.015383989257455738,0.3466251452696856
329-U1365E-8R-2-W 117/119,10.2609624705216,4.798018144711474,,1.9443199045733586,,12.66343179392558,-0.08512364590416155,0.4062584035239911,3.1900898627036107,2.5197559173819033,0.6387359825105392,,,-1.0278766112393085,-0.6810565977640044,-0.8289260777603813,-5.556746784914729,-2.38471665099574,-0.037080045274106244,0.007456876279555755,2.1047472813602734
329-U1365E-8R-2-W 119/121,0.14740272233442142,-0.049970584897822024,,1.94074210580578,,-1.7644265958940006,0.14909063082497442,0.25193003786003487,6.537909057597832,2.9283748444257047,0.8733559850959751,,,-0.8159759989118744,-0.5791014298990875,-0.6085892199071177,-1.5500048191368236,-1.5732055643058391,0.0699405022549291,-0.018164063360044197,1.0116482153251436
329-U1365E-8R-3-W 41/45,0.6370513579344671,-0.169750988747345,,0.6275251772859037,,-1.78004778087116,0.13051378870335117,0.18562527119700656,2.4779226546132462,2.334577839706196,0.834124105289324,,,-0.9441339567560871,-0.4687806436275048,-0.6553286315688669,-2.6293499853859785,0.1092099807238629,-0.05498259574735709,-0.010146412191787316,-0.1822221123429788
329-U1365E-8R-4-W 8/10,21.380906423476965,1.6192222422936977,,1.06933202745972,,33.23234714154213,0.2839605418636033,1.4816057510157918,11.010118993690114,-0.3879046681643592,2.6231687004944977,,,0.4215609189742153,2.1633922411725948,2.165790874022168,-2.1349394032538385,0.41778914161527947,-0.35950870940403323,-0.13090775901965201,-2.0859148999651413
329-U1365E-8R-4-W 84/88,7.112572280040413,0.37788929522736225,,0.8325583708508972,,7.767513624903419,0.8277276694015079,0.8375509356194968,7.699122806442491,0.8860329710383956,2.015019503609942,,,-0.931682977677136,1.3779730739792466,1.0966167799686133,0.5951714385869664,-0.3203155851855044,0.2775323174524855,-0.05715873468655494,0.3963620928349769
329-U1365E-9R-1-W 84/88,0.31337078697040716,0.15986730753962908,,0.6625351079539392,,0.7290597293743781,1.1721066807727576,1.7003582552627394,1.303936412261784,0.802658697254194,2.163725685954506,,,-0.576550736205645,2.1489926453399946,1.8409468147699464,-0.7036899845242033,-0.9490714880404152,0.04207872769257781,-0.04675278158714516,0.8143569623983407
329-U1365E-9R-3-W 138/142,1.8051150395242248,-0.021802237871364705,,1.9824935674009976,,0.41145342334496027,0.6194888763434117,0.5800066936234467,3.0489183596139346,0.5247245016563973,1.8477712473153574,,,-0.7377865142930968,1.5441885761963583,1.1686972573063645,-0.8241847470195864,-0.663004160443533,-0.007864036830929955,-0.046460515161773186,0.9702182704739251
329-U1365E-10R-1-W 46/50,-0.7317148538920768,0.021333620330666214,,-0.28217512724078286,,14.52187560827283,0.10168124364128506,0.23387558079546444,15.26204163445367,0.891928216753433,0.7042087212578387,,,-1.553966277734217,0.9290713075321761,0.4244979002071805,-0.41159612285935054,-0.7079755388886211,0.024801193661609044,-0.005263931317016718,0.21921897317931816
329-U1365E-11R-1-W 75/78,16.87873879193959,0.3050147774460923,,1.830499513822807,,12.500645041234494,0.8960976962078595,0.47302047285856563,4.243174805698681,0.9926193555509553,1.428144047602352,,,-0.9790341730515202,1.806342112153386,1.1590557793569527,-1.5709323665764643,-1.0117706086220268,0.033854043266027034,-0.05373218916355649,0.7191649883500002
329-U1365E-11R-1-W 100/104,11.121740839438951,0.331907289022934,,2.5642055142941533,,9.510876834483373,1.1329860147005748,0.8041004544086086,3.6413658148133745,0.855755238558884,1.6146675327499835,,,-0.7191630558157911,1.3083269147180836,0.9064757367662875,-1.0505531979766047,-0.6751970626963004,0.04203670238210666,-0.05067554440818728,0.8686400179344691
329-U1365E-11R-2-W 0/2,17.985922115476363,-0.14596674287843037,,6.590978644453004,,18.797849489418173,0.6445443633283094,1.3143555285412747,5.486257525919172,1.128073429089822,2.3172746806058555,,,-0.8972939398619708,1.8373728814254306,1.541754728899532,-0.4914948939632424,-1.2241206836811962,0.2128874216177472,-0.0421734580906169,0.31873537831835996
329-U1365E-11R-2-W 2/4,32.309050972295964,1.8104252195882249,,4.772159510588239,,25.894231025832877,1.0751547472152438,0.6572021999613451,5.058173614943251,0.7102450139963272,0.9361329762734698,,,-0.7005448326580579,2.0101303246335913,1.6093075786545095,-3.770405129174847,-1.5855657015182398,-0.06990392236285992,-0.08074147223767725,0.34583659081387097
329-U1365E-11R-2-W 89/93,30.942032063781962,0.14505486324722627,,6.014052273370618,,25.588309709688776,1.1108239685117587,1.1022121959657314,5.550261948242491,0.8375987455775045,1.417596923213818,,,-0.997884991629447,2.039622492379041,1.687925133763943,-0.7115713001576722,-0.8887811192887334,-0.010015641881988113,-0.08308838807887761,-0.13499201556298956
329-U1365E-11R-3-W 77/81,0.7062449674025555,-0.8875697963725022,,4.630053986526438,,1.597806633402712,-0.7258133606598118,0.4894039143150284,1.8972260109928154,-0.5060710594240447,1.4723399189364699,,,-2.0414774490681378,4.367223205596057,4.879107929769313,-0.6405573678329475,-1.857226873655776,-0.10381204245362197,-0.007841619962557833,2.116531732340846
329-U1365E-12R-1-W 19/23,0.23015784322110994,0.4820973450260717,,0.5331819860762779,,0.7374472738047606,0.5599457152281113,0.986807502273237,1.8483922119768668,0.733280752707377,2.01547677771803,,,-0.9744139136219463,1.819899467756672,1.598996185177528,-0.3376492994401872,-0.6081445010286934,0.08183058497158768,-0.057767079307873975,1.0375022073112259
329-U1365E-12R-1-W 71/76,13.09732078373342,-1.0707939277732423,,4.381645614931877,,16.541609687038836,-0.7937183004069057,0.20821600494159398,6.084667412392513,-0.8961684119903568,0.860554421659879,,,-2.9061449064770537,4.086085982867928,4.552470452187779,-0.6820260600595702,-2.1767786736993227,-0.06063139277437113,-0.018121550262035796,0.6801530474363133
329-U1365E-12R-2-W 66/68,26.018028307388786,0.9886579975139814,,7.784501046653034,,29.145316389080783,1.3780846388404528,0.8593039022765439,3.870098266168351,0.9601476539279803,1.988020251304068,,,-0.6251823728630601,2.0553845194615246,1.4542248239015034,-2.505536958546223,-1.981725419842534,0.1323286409481299,-0.037962733653540276,0.24397695709000544
329-U1365E-12R-3-W 17/21,15.963125333489282,0.1474135187429697,,3.1777934436784845,,15.613712406309643,0.4405691543073784,0.516517345789218,4.136897855401237,1.1367656085542022,1.9149548441622137,,,-0.9418005779367569,1.831710754366462,1.0895759147592177,-0.2945316235217206,-0.5762875663847602,0.18213674331835694,-0.06606326105101082,0.5785892619798148
329-U1365E-12R-3-W 128/132,1.7995439245387348,0.14053655433510748,,0.7494460786150399,,0.6681811455940623,0.9768013105615703,0.9537897958498114,1.559985842735653,0.8010306349992744,1.1487192626060558,,,-0.8642220396406355,1.6624273396413134,1.1406248484295283,-1.1489964256313456,-0.44652743242588766,0.04246513699272647,-0.08377849429580253,1.2695945844017071
329-U1365E-12R-4-W 60/64,1.2651768458107782,-0.051163055886018105,,0.6204144734369876,,2.300211299520204,1.2093141315745752,1.7156970425118256,2.878160226366104,0.8627280909991235,2.4063771033158448,,,-0.5817112438161622,2.2144392025431783,1.7469446128910064,-0.9322257480444947,-0.5690487264141915,-0.09165871133582915,-0.05221020153068873,1.1066785128924952
329-U1368F-2R-1-W 13/17,-0.11029314666603973,0.2517013263847758,,2.6615173270638905,,5.360971865712308,1.8297203800874975,0.6015613924929184,-3.516583100177561,-0.40060604186324156,1.973226872831436,,,-0.5203312427721043,0.9635938711961902,0.8130167877320229,-1.3304312220707502,-1.6458958244590915,0.608765934219841,0.10091900003593643,0.34833503577323377
329-U1368F-2R-2-W 13/17,-1.3780493474596351,0.5426143133684924,,5.161170759672256,,-0.1372923415242333,2.733426192510448,1.7537395525450155,-0.4092511818400606,1.6601813947185775,2.13009285758546,,,-1.1713386312020235,0.3295023605089433,0.44751160798698386,-1.7591742460845055,-1.4765300766908673,0.6883694626002566,0.11046331420673122,0.48642208923589614
