Sample ID,DataBase,SAMPLE_INFO
329-U1365E-2R-1-W 36/40,South_Pacific,Seafloor altered basalt
329-U1365E-2R-1-W 65/69,South_Pacific,Seafloor altered basalt
329-U1365E-3R-1-W 130/134,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 20/22,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 22/24,South_Pacific,Seafloor altered basalt
329-U1365E-3R-2-W 52/56,South_Pacific,Seafloor altered basalt
329-U1365E-3R-3-W 33/37,South_Pacific,Seafloor altered basalt
329-U1365E-3R-3-W 112/116,South_Pacific,Seafloor altered basalt
329-U1365E-3R-4-W 66/68,South_Pacific,Seafloor altered basalt
329-U1365E-3R-4-W 68/70,South_Pacific,Seafloor altered basalt
329-U1365E-4R-1-W 22/24,South_Pacific,Seafloor altered basalt
329-U1365E-4R-1-W 24/25,South_Pacific,Seafloor altered basalt
329-U1365E-4R-1-W 37/40,South_Pacific,Seafloor altered basalt
329-U1365E-4R-2-W 88/92,South_Pacific,Seafloor altered basalt
329-U1365E-4R-2-W 137/142,South_Pacific,Seafloor altered basalt
329-U1365E-4R-3-W 10/13,South_Pacific,Seafloor altered basalt
329-U1365E-5R-1-W 8/12,South_Pacific,Seafloor altered basalt
329-U1365E-5R-2-W 89/93,South_Pacific,Seafloor altered basalt
329-U1365E-5R-3-W 29/33,South_Pacific,Seafloor altered basalt
329-U1365E-5R-4-W 53/57,South_Pacific,Seafloor altered basalt
329-U1365E-5R-4-W 86/90,South_Pacific,Seafloor altered basalt
329-U1365E-5R-4-W 144/149,South_Pacific,Seafloor altered basalt
329-U1365E-6R-1-W 8/12,South_Pacific,Seafloor altered basalt
329-U1365E-6R-1-W 26/30,South_Pacific,Seafloor altered basalt
329-U1365E-6R-2-W 19/23,South_Pacific,Seafloor altered basalt
329-U1365E-6R-2-W 99/103,South_Pacific,Seafloor altered basalt
329-U1365E-6R-4-W 8/10,South_Pacific,Seafloor altered basalt
329-U1365E-6R-4-W 10/12,South_Pacific,Seafloor altered basalt
329-U1365E-6R-4-W 19/23,South_Pacific,Seafloor altered basalt
329-U1365E-7R-1-W 41/45,South_Pacific,Seafloor altered basalt
329-U1365E-7R-2-W 131/135,South_Pacific,Seafloor altered basalt
329-U1365E-7R-3-W 0/2,South_Pacific,Seafloor altered basalt
329-U1365E-7R-3-W 2/4,South_Pacific,Seafloor altered basalt
329-U1365E-7R-4-W 0/4,South_Pacific,Seafloor altered basalt
329-U1365E-8R-1-W 41/47,South_Pacific,Seafloor altered basalt
329-U1365E-8R-2-W 49/53,South_Pacific,Seafloor altered basalt
329-U1365E-8R-2-W 117/119,South_Pacific,Seafloor altered basalt
329-U1365E-8R-2-W 119/121,South_Pacific,Seafloor altered basalt
329-U1365E-8R-3-W 41/45,South_Pacific,Seafloor altered basalt
329-U1365E-8R-4-W 8/10,South_Pacific,Seafloor altered basalt
329-U1365E-8R-4-W 84/88,South_Pacific,Seafloor altered basalt
329-U1365E-9R-1-W 84/88,South_Pacific,Seafloor altered basalt
329-U1365E-9R-3-W 138/142,South_Pacific,Seafloor altered basalt
329-U1365E-10R-1-W 46/50,South_Pacific,Seafloor altered basalt
329-U1365E-11R-1-W 75/78,South_Pacific,Seafloor altered basalt
329-U1365E-11R-1-W 100/104,South_Pacific,Seafloor altered basalt
329-U1365E-11R-2-W 0/2,South_Pacific,Seafloor altered basalt
329-U1365E-11R-2-W 2/4,South_Pacific,Seafloor altered basalt
329-U1365E-11R-2-W 89/93,South_Pacific,Seafloor altered basalt
329-U1365E-11R-3-W 77/81,South_Pacific,Seafloor altered basalt
329-U1365E-12R-1-W 19/23,South_Pacific,Seafloor altered basalt
329-U1365E-12R-1-W 71/76,South_Pacific,Seafloor altered basalt
329-U1365E-12R-2-W 66/68,South_Pacific,Seafloor altered basalt
329-U1365E-12R-3-W 17/21,South_Pacific,Seafloor altered basalt
329-U1365E-12R-3-W 128/132,South_Pacific,Seafloor altered basalt
329-U1365E-12R-4-W 60/64,South_Pacific,Seafloor altered basalt
329-U1368F-2R-1-W 13/17,South_Pacific,Seafloor altered basalt
329-U1368F-2R-2-W 13/17,South_Pacific,Seafloor altered basalt
329-U1368F-2R-2-W 134/138,South_Pacific,Seafloor altered basalt
329-U1368F-2R-3-W 110/115,South_Pacific,Seafloor altered basalt
329-U1368F-2R-4-W 61/64,South_Pacific,Seafloor altered basalt
329-U1368F-2R-4-W 86/90,South_Pacific,Seafloor altered basalt
329-U1368F-3R-1-W 19/21,South_Pacific,Seafloor altered basalt
329-U1368F-3R-1-W 21/23,South_Pacific,Seafloor altered basalt
329-U1368F-4R-1-W 23/27,South_Pacific,Seafloor altered basalt
329-U1368F-4R-1-W 66/68,South_Pacific,Seafloor altered basalt
329-U1368F-4R-1-W 129/131,South_Pacific,Seafloor altered basalt
329-U1368F-4R-1-W 131/133,South_Pacific,Seafloor altered basalt
329-U1368F-4R-2-W 14/16,South_Pacific,Seafloor altered basalt
329-U1368F-5R-1-W 30/34,South_Pacific,Seafloor altered basalt
329-U1368F-5R-2-W 64/69,South_Pacific,Seafloor altered basalt
329-U1368F-5R-3-W 9/14,South_Pacific,Seafloor altered basalt
329-U1368F-5R-3-W 93/97,South_Pacific,Seafloor altered basalt
329-U1368F-6R-1-W 83/87,South_Pacific,Seafloor altered basalt
329-U1368F-6R-1-W 119/123,South_Pacific,Seafloor altered basalt
329-U1368F-7R-1-W 48/50,South_Pacific,Seafloor altered basalt
329-U1368F-7R-1-W 90/92,South_Pacific,Seafloor altered basalt
329-U1368F-7R-2-W 8/13,South_Pacific,Seafloor altered basalt
329-U1368F-7R-2-W 46/48,South_Pacific,Seafloor altered basalt
329-U1368F-7R-2-W 93/95,South_Pacific,Seafloor altered basalt
329-U1368F-7R-2-W 113/115,South_Pacific,Seafloor altered basalt
329-U1368F-7R-3-W 16/20,South_Pacific,Seafloor altered basalt
329-U1368F-8R-1-W 31/36,South_Pacific,Seafloor altered basalt
329-U1368F-8R-1-W 129/134,South_Pacific,Seafloor altered basalt
329-U1368F-8R-1-W 143/148,South_Pacific,Seafloor altered basalt
329-U1368F-8R-2-W 121/124,South_Pacific,Seafloor altered basalt
329-U1368F-9R-1-W 29/33,South_Pacific,Seafloor altered basalt
329-U1368F-9R-1-W 95/99,South_Pacific,Seafloor altered basalt
329-U1368F-10R-1-W 0/3,South_Pacific,Seafloor altered basalt
329-U1368F-10R-1-W 3/5,South_Pacific,Seafloor altered basalt
329-U1368F-10R-1-W 112/116,South_Pacific,Seafloor altered basalt
329-U1368F-10R-2-W 57/62,South_Pacific,Seafloor altered basalt
329-U1368F-11R-1-W 10/14,South_Pacific,Seafloor altered basalt
329-U1368F-11R-1-W 81/86,South_Pacific,Seafloor altered basalt
329-U1368F-11R-1-W 133/137,South_Pacific,Seafloor altered basalt
329-U1368F-11R-2-W 20/23,South_Pacific,Seafloor altered basalt
329-U1368F-11R-2-W 74/76,South_Pacific,Seafloor altered basalt
329-U1368F-11R-2-W 76/78,South_Pacific,Seafloor altered basalt
329-U1368F-11R-2-W 110/116,South_Pacific,Seafloor altered basalt
329-U1368F-12R-1-W 29/33,South_Pacific,Seafloor altered basalt
329-U1368F-12R-1-W 71/74,South_Pacific,Seafloor altered basalt
329-U1368F-12R-2-W 11/13,South_Pacific,Seafloor altered basalt
329-U1368F-12R-2-W 13/16,South_Pacific,Seafloor altered basalt
329-U1368F-12R-2-W 122/127,South_Pacific,Seafloor altered basalt
329-U1368F-12R-3-W 51/55,South_Pacific,Seafloor altered basalt
329-U1368F-13R-1-W 7/11,South_Pacific,Seafloor altered basalt
329-U1368F-13R-1-W 71/75,South_Pacific,Seafloor altered basalt
329-U1368F-13R-1-W 114/115,South_Pacific,Seafloor altered basalt
329-U1368F-13R-1-W 115/117,South_Pacific,Seafloor altered basalt
329-U1368F-13R-2-W 54/55,South_Pacific,Seafloor altered basalt
329-U1368F-13R-2-W 55/57,South_Pacific,Seafloor altered basalt
329-U1368F-13R-2-W 108/110,South_Pacific,Seafloor altered basalt
329-U1368F-13R-2-W 120/124,South_Pacific,Seafloor altered basalt
329-U1368F-13R-3-W 52/56,South_Pacific,Seafloor altered basalt
329-U1368F-13R-3-W 131/135,South_Pacific,Seafloor altered basalt
329-U1368F-13R-4-W 22/27,South_Pacific,Seafloor altered basalt
329-U1368F-14R-1-W 39/43,South_Pacific,Seafloor altered basalt
329-U1368F-14R-1-W 140/145,South_Pacific,Seafloor altered basalt
